SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100051,0,Cash loans,M,N,Y,0.0,202500.0,661702.5,48280.5,598500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.007114,-9827,-758.0,-4166.0,-2380.0,,1,1,1,1,0,0,,2.0,2,2,WEDNESDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.6315186311742824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-556.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
100360,0,Revolving loans,F,N,N,0.0,67500.0,202500.0,10125.0,202500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-19676,-4483.0,-5545.0,-3236.0,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,8,0,0,0,0,0,0,Housing,0.8616261065248083,0.7561078884474521,,0.122,0.1097,0.9771,0.6872,0.072,0.0,0.2528,0.1667,0.2083,0.0525,0.1084,0.0876,0.0039,0.0128,0.1008,0.0981,0.9772,0.6994,0.0134,0.0,0.2759,0.1667,0.2083,0.0221,0.1185,0.0705,0.0039,0.0019,0.1343,0.1097,0.9771,0.6914,0.0482,0.0,0.2759,0.1667,0.2083,0.0534,0.1103,0.0894,0.0039,0.0025,org spec account,block of flats,0.0766,Block,No,0.0,0.0,0.0,0.0,-1232.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
112690,0,Cash loans,M,Y,N,2.0,540000.0,1800000.0,62568.0,1800000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.032561,-13499,-1667.0,-731.0,-3685.0,2.0,1,1,1,1,0,0,Managers,4.0,1,1,MONDAY,17,0,0,0,0,0,0,Self-employed,0.4937779146503519,0.569401481947916,0.5046813193144684,0.1031,0.0841,0.9727,0.626,0.0109,0.0,0.1724,0.1667,0.2083,0.0183,0.0841,0.0871,0.0,0.0,0.105,0.0873,0.9727,0.6406,0.011,0.0,0.1724,0.1667,0.2083,0.0187,0.0918,0.0908,0.0,0.0,0.1041,0.0841,0.9727,0.631,0.011,0.0,0.1724,0.1667,0.2083,0.0186,0.0855,0.0887,0.0,0.0,reg oper account,block of flats,0.0745,Panel,No,1.0,0.0,1.0,0.0,-671.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
115623,0,Cash loans,M,N,Y,0.0,90000.0,81666.0,5652.0,58500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010966,-14887,-962.0,-34.0,-4572.0,,1,1,0,1,0,1,,1.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Industry: type 9,,0.3102602865378536,0.25533177083329,0.2216,0.1468,0.9796,0.7212,0.041,0.24,0.2069,0.3333,,0.1564,,0.2089,,0.1035,0.2258,0.1524,0.9796,0.7321,0.0414,0.2417,0.2069,0.3333,,0.16,,0.2176,,0.1096,0.2238,0.1468,0.9796,0.7249,0.0413,0.24,0.2069,0.3333,,0.1591,,0.2126,,0.1057,org spec account,block of flats,0.1869,Panel,No,0.0,0.0,0.0,0.0,-508.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
117343,0,Cash loans,M,N,Y,0.0,112500.0,364896.0,19102.5,315000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.028663,-16021,-3087.0,-3101.0,-3109.0,,1,1,0,1,1,0,,2.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.5285408208485436,0.746300213050371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-643.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124201,0,Cash loans,F,N,Y,1.0,157500.0,193392.0,9013.5,153000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.035792,-15445,-1124.0,-1407.0,-4089.0,,1,1,1,1,1,0,Laborers,3.0,2,2,FRIDAY,18,0,0,0,0,0,0,Business Entity Type 3,,0.6200072430353423,,0.4814,0.4748,0.9831,0.7688,0.0751,0.52,0.4483,0.3333,0.375,0.3227,0.3917,0.5619,0.0039,0.0071,0.4905,0.4927,0.9831,0.7779,0.0758,0.5236,0.4483,0.3333,0.375,0.3301,0.4279,0.5854,0.0039,0.0075,0.4861,0.4748,0.9831,0.7719,0.0755,0.52,0.4483,0.3333,0.375,0.3283,0.3985,0.5720000000000001,0.0039,0.0073,reg oper account,block of flats,0.4435,Panel,No,0.0,0.0,0.0,0.0,-986.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
142711,0,Cash loans,M,Y,Y,0.0,270000.0,679896.0,69795.0,630000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.032561,-15327,-1317.0,-687.0,-1208.0,9.0,1,1,0,1,0,0,Drivers,2.0,1,1,TUESDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.6910890528552578,0.2176285202779586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,10.0,0.0,-1640.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149387,0,Cash loans,F,Y,Y,0.0,382500.0,1035832.5,30415.5,904500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.04622,-9951,-1942.0,-699.0,-2639.0,0.0,1,1,0,1,0,1,Core staff,2.0,1,1,TUESDAY,16,0,0,0,0,0,0,Bank,,0.7585873808486401,0.3108182544189319,0.1454,0.0994,0.9831,0.7688,0.0314,0.16,0.1379,0.3333,0.375,0.0,0.1185,0.1369999999999999,0.0,0.0,0.1481,0.1031,0.9831,0.7779,0.0317,0.1611,0.1379,0.3333,0.375,0.0,0.1295,0.1428,0.0,0.0,0.1468,0.0994,0.9831,0.7719,0.0316,0.16,0.1379,0.3333,0.375,0.0,0.1206,0.1395,0.0,0.0,reg oper account,block of flats,0.1078,Panel,No,2.0,0.0,2.0,0.0,-1722.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
153599,0,Cash loans,F,N,N,1.0,90000.0,776304.0,25042.5,648000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.007305,-12032,-4506.0,-3364.0,-500.0,,1,1,0,1,1,0,Medicine staff,3.0,3,3,MONDAY,16,0,0,0,0,0,0,Medicine,0.3551294197627155,0.4655712743116323,0.3689687382528466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-435.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
167414,0,Cash loans,F,Y,N,0.0,157500.0,1288350.0,34114.5,1125000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.072508,-17408,-664.0,-2505.0,-962.0,21.0,1,1,0,1,0,0,Sales staff,2.0,1,1,TUESDAY,17,0,0,0,0,0,0,Self-employed,,0.7468090586871199,0.7380196196295241,0.1763,0.1118,0.9771,0.6872,0.3623,0.16,0.1724,0.3333,0.375,0.0226,0.1345,0.1414,0.0425,0.1423,0.1796,0.116,0.9772,0.6994,0.3656,0.1611,0.1724,0.3333,0.375,0.0232,0.1469,0.1474,0.0428,0.1506,0.178,0.1118,0.9771,0.6914,0.3646,0.16,0.1724,0.3333,0.375,0.023,0.1368,0.144,0.0427,0.1453,reg oper account,block of flats,0.1422,"Stone, brick",No,0.0,0.0,0.0,0.0,-99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
